Species,Interaction,No.individuals,Year,Gear,Sector,Coverage.rate
Steller Sea Lion,Feeding on catch,28,2003,Bottom Trawl,Limited Entry Trawl,0.14
Steller Sea Lion,Feeding on catch,10,2004,Bottom Trawl,Limited Entry Trawl,0.24
Steller Sea Lion,Feeding on catch,11,2005,Bottom Trawl,Limited Entry Trawl,0.22
Steller Sea Lion,Feeding on catch,33,2006,Bottom Trawl,Limited Entry Trawl,0.19
Steller Sea Lion,Feeding on catch,42,2007,Bottom Trawl,Limited Entry Trawl,0.17
Steller Sea Lion,Feeding on catch,139,2008,Bottom Trawl,Limited Entry Trawl,0.2
Steller Sea Lion,Feeding on catch,165,2009,Bottom Trawl,Limited Entry Trawl,0.23
Steller Sea Lion,Feeding on catch,25,2010,Bottom Trawl,Limited Entry Trawl,0.18
Steller Sea Lion,Feeding on catch,275,2011,Bottom Trawl,Catch Shares,1
Steller Sea Lion,Feeding on catch,1,2011,Midwater Trawl,Shoreside Hake,1
Steller Sea Lion,Feeding on catch,242,2012,Bottom Trawl,Catch Shares,1
Steller Sea Lion,Feeding on catch,2,2012,Midwater Trawl,Shoreside Hake,1
Steller Sea Lion,Feeding on catch,355,2013,Bottom Trawl,Catch Shares,1
Steller Sea Lion,Feeding on catch,22,2013,Pot,Catch Shares,1
Steller Sea Lion,Feeding on catch,276,2014,Bottom Trawl,Catch Shares,1
Steller Sea Lion,Killed by gear,2,2002,Bottom Trawl,Limited Entry Trawl,0.15
Steller Sea Lion,Killed by gear,2,2007,Bottom Trawl,Limited Entry Trawl,0.17
Steller Sea Lion,Killed by gear,4,2009,Bottom Trawl,Limited Entry Trawl,0.23
Steller Sea Lion,Killed by gear,7,2010,Bottom Trawl,Limited Entry Trawl,0.18
Steller Sea Lion,Killed by gear,13,2011,Bottom Trawl,Catch Shares,1
Steller Sea Lion,Killed by gear,1,2011,Midwater Trawl,Shoreside Hake,1
Steller Sea Lion,Killed by gear,5,2012,Bottom Trawl,Catch Shares,1
Steller Sea Lion,Killed by gear,4,2013,Bottom Trawl,Catch Shares,1
Steller Sea Lion,Killed by gear,4,2014,Bottom Trawl,Catch Shares,1
Steller Sea Lion,Killed by gear,1,2014,Midwater Trawl,Shoreside Hake,1
Steller Sea Lion,Lethal removal - not trailing gear,1,2011,Bottom Trawl,Catch Shares,1
Steller Sea Lion,Other,5,2011,Bottom Trawl,Catch Shares,1
Steller Sea Lion,Previously dead,1,2003,Bottom Trawl,Limited Entry Trawl,0.14
Steller Sea Lion,Previously dead,1,2009,Bottom Trawl,Limited Entry Trawl,0.23
Steller Sea Lion,Previously dead,1,2011,Bottom Trawl,Catch Shares,1
